0,1,2,3,target
36290.0,29311.5,27898.6,29789.4,29870.5
29311.5,27898.6,29789.4,29870.5,30563.1
27898.6,29789.4,29870.5,30563.1,31386.7
29789.4,29870.5,30563.1,31386.7,31869.8
29870.5,30563.1,31386.7,31869.8,33736.8
30563.1,31386.7,31869.8,33736.8,41325.2
31386.7,31869.8,33736.8,41325.2,30481.3
31869.8,33736.8,41325.2,30481.3,36958.0
33736.8,41325.2,30481.3,36958.0,41948.2
41325.2,30481.3,36958.0,41948.2,31934.1
30481.3,36958.0,41948.2,31934.1,32865.0
36958.0,41948.2,31934.1,32865.0,33799.1
41948.2,31934.1,32865.0,33799.1,33564.0
31934.1,32865.0,33799.1,33564.0,34897.9
32865.0,33799.1,33564.0,34897.9,33866.5
33799.1,33564.0,34897.9,33866.5,33748.2
33564.0,34897.9,33866.5,33748.2,33119.2
34897.9,33866.5,33748.2,33119.2,37283.0
33866.5,33748.2,33119.2,37283.0,45848.7
33748.2,33119.2,37283.0,45848.7,41117.7
33119.2,37283.0,45848.7,41117.7,45653.6
37283.0,45848.7,41117.7,45653.6,35910.0
45848.7,41117.7,45653.6,35910.0,38277.6
41117.7,45653.6,35910.0,38277.6,39030.2
45653.6,35910.0,38277.6,39030.2,38944.5
35910.0,38277.6,39030.2,38944.5,40678.0
38277.6,39030.2,38944.5,40678.0,39197.8
39030.2,38944.5,40678.0,39197.8,39408.4
38944.5,40678.0,39197.8,39408.4,43841.2
40678.0,39197.8,39408.4,43841.2,52857.2
39197.8,39408.4,43841.2,52857.2,39503.0
39408.4,43841.2,52857.2,39503.0,47596.4
43841.2,52857.2,39503.0,47596.4,53681.4
52857.2,39503.0,47596.4,53681.4,40366.3
39503.0,47596.4,53681.4,40366.3,41950.0
47596.4,53681.4,40366.3,41950.0,42128.8
53681.4,40366.3,41950.0,42128.8,43125.2
40366.3,41950.0,42128.8,43125.2,47431.7
41950.0,42128.8,43125.2,47431.7,42622.9
42128.8,43125.2,47431.7,42622.9,43141.3
43125.2,47431.7,42622.9,43141.3,47185.8
47431.7,42622.9,43141.3,47185.8,58481.8
42622.9,43141.3,47185.8,58481.8,43989.5
43141.3,47185.8,58481.8,43989.5,48275.9
47185.8,58481.8,43989.5,48275.9,58850.9
58481.8,43989.5,48275.9,58850.9,43444.3
43989.5,48275.9,58850.9,43444.3,44404.8
48275.9,58850.9,43444.3,44404.8,49685.2
58850.9,43444.3,44404.8,49685.2,44964.8
