data,valores
2020-08-01,39929.1
2020-09-01,33682.8
2020-10-01,41491.9
2020-11-01,40361.4
2020-12-01,57033.5
2021-01-01,32931.2
2021-02-01,34957.0
2021-03-01,34618.3
2021-04-01,35273.7
2021-05-01,33893.3
2021-06-01,34093.8
2021-07-01,38039.4
2021-08-01,37962.6
2021-09-01,39957.9
2021-10-01,38366.8
2021-11-01,39962.1
2021-12-01,63579.1
2022-01-01,39682.9
2022-02-01,39742.5
2022-03-01,41389.7
2022-04-01,42782.1
2022-05-01,42042.4
2022-06-01,41075.6
2022-07-01,42706.7
2022-08-01,43750.9
2022-09-01,43785.7
2022-10-01,45750.2
2022-11-01,42436.4
2022-12-01,69514.8
2023-01-01,46194.6
2023-02-01,44095.2
2023-03-01,45451.5
2023-04-01,45784.6
2023-05-01,47769.8
2023-06-01,45932.5
2023-07-01,47425.5
2023-08-01,47479.3
2023-09-01,48464.2
2023-10-01,48416.8
2023-11-01,48604.1
2023-12-01,77030.1
2024-01-01,51746.7
2024-02-01,47927.6
2024-03-01,50925.2
2024-04-01,50475.4
2024-05-01,49080.0
2024-06-01,49733.5
2024-07-01,50919.6
2024-08-01,53728.1
2024-09-01,49226.4
2024-10-01,51950.5
2024-11-01,52098.7
2024-12-01,83343.8
2025-01-01,53626.5
2025-02-01,54148.8
2025-03-01,54680.0
2025-04-01,54605.2
2025-05-01,55895.3
2025-06-01,55983.8
2025-07-01,55214.8
2025-08-01,59518.4
2025-09-01,57956.1
2025-10-01,57953.6
2025-11-01,58086.4
2025-12-01,92045.3
2026-01-01,59870.6
2026-02-01,59338.0
2026-03-01,60293.0
